단위중량(kg),투입중량(kg),염색길이(m),투입중량/길이,투입중량/액량,공정진행시간(%),진행온도,포속1,포속3,포속4,염색색차 DE
625.0,220.3,201.0,1.0960199004975124,0.11015,50.46,68.9,107,102,80,0.9501897
324.0,66.2,31.0,2.135483870967742,0.0662,41.72,107.5,3,58,139,0.8130776
560.0,198.4,500.0,0.3968,0.0992,26.12,104.9,69,242,27,5.25213
314.0,97.4,300.0,0.3246666666666666,0.0487,8.7,50.0,3,71,10,0.4555725
320.0,108.2,343.0,0.3154518950437318,0.0541,11.91,58.2,3,79,21,2.006101
314.0,97.4,300.0,0.3246666666666666,0.0487,58.7,93.5,16,72,97,0.4555725
460.0,48.0,3.0,16.0,0.048,87.86,68.4,64,132,132,1.644801
560.0,63.6,10.0,6.36,0.0636,77.51,105.7,33,34,838,1.315164
314.0,113.8,350.0,0.3251428571428571,0.0569,37.86,117.7,12,91,59,0.3047607
560.0,63.6,10.0,6.36,0.0636,95.25,41.2,32,10,1022,1.315164
324.0,78.3,25.0,3.132,0.0783,63.31,65.9,54,54,331,5.306342
560.0,42.8,11.0,3.89090909090909,0.0713333333333333,65.71,105.6,80,0,0,14.85745
320.0,122.7,77.0,1.5935064935064935,0.06135,10.12,77.6,73,95,19,1.593427
460.0,190.0,14.0,13.571428571428571,0.095,72.93,124.5,45,100,131,2.184558
350.0,35.0,87.0,0.4022988505747126,0.0583333333333333,50.46,134.4,308,0,0,3.341123
320.0,20.2,47.0,0.4297872340425532,0.0336666666666666,58.54,119.9,59,0,0,1.343926
324.0,44.6,41.0,1.0878048780487806,0.0446,91.49,70.7,67,645,125,0.7530965
560.0,290.6,450.0,0.6457777777777778,0.07265,38.46,119.6,91,90,48,3.65923
460.0,38.4,32.0,1.2,0.064,81.82,69.6,40,0,0,0.3146644
294.0,80.1,254.0,0.3153543307086613,0.0800999999999999,24.19,80.1,50,69,147,0.319741
536.0,184.9,84.0,2.2011904761904764,0.09245,20.93,99.8,16,115,29,1.057401
350.0,35.0,87.0,0.4022988505747126,0.0583333333333333,87.96,49.2,47,0,0,3.341123
450.0,53.3,100.0,0.5329999999999999,0.0533,19.3,98.9,228,75,37,0.2996852
560.0,199.5,111.0,1.7972972972972974,0.09975,86.49,79.7,62,122,95,3.457263
560.0,42.8,11.0,3.89090909090909,0.0713333333333333,3.81,41.2,56,0,0,14.85745
460.0,51.5,36.0,1.4305555555555556,0.0515,86.9,116.3,70,71,196,0.8660321
560.0,290.6,450.0,0.6457777777777778,0.07265,35.58,116.8,90,97,44,3.65923
604.0,208.7,500.0,0.4174,0.052175,89.32,65.2,52,55,222,1.716412
560.0,287.2,450.0,0.6382222222222222,0.0718,79.63,71.7,100,69,124,2.161994
800.0,66.0,49.0,1.346938775510204,0.066,86.96,67.4,24,27,333,0.4358755
560.0,55.8,10.0,5.58,0.0557999999999999,39.23,68.5,52,52,52,2.042118
320.0,20.2,47.0,0.4297872340425532,0.0336666666666666,9.15,37.8,62,0,0,1.343926
314.0,93.4,269.0,0.3472118959107806,0.0467,53.81,119.9,22,61,100,0.4271967
314.0,97.4,300.0,0.3246666666666666,0.0487,6.52,41.2,78,78,7,0.4555725
560.0,287.2,450.0,0.6382222222222222,0.0718,71.76,71.6,99,69,109,2.161994
146.0,189.6,1600.0,0.1185,0.0474,100.0,35.0,157,144,124,0.3985579
320.0,158.6,90.0,1.762222222222222,0.0793,41.29,112.3,45,144,91,0.6491697
800.0,50.0,67.0,0.746268656716418,0.0833333333333333,75.74,129.8,37,0,0,0.7474369
324.0,66.2,31.0,2.135483870967742,0.0662,20.86,101.6,28,59,70,0.8130776
320.0,54.6,76.0,0.718421052631579,0.0546,16.76,56.9,50,61,34,1.818745
324.0,44.6,41.0,1.0878048780487806,0.0446,88.01,95.6,64,66,122,0.7530965
800.0,66.0,49.0,1.346938775510204,0.066,35.87,107.1,30,2,133,0.4358755
450.0,53.3,100.0,0.5329999999999999,0.0533,90.53,66.7,76,76,195,0.2996852
450.0,95.8,72.0,1.3305555555555555,0.0958,76.79,68.7,54,47,474,1.355596
625.0,218.2,14.0,15.585714285714284,0.1090999999999999,15.3,94.9,102,97,36,0.5479724
190.0,87.6,456.0,0.1921052631578947,0.0219,58.7,119.7,78,89,75,1.338738
324.0,139.6,253.0,0.5517786561264821,0.0698,42.33,129.6,114,114,41,0.5054298
190.0,85.6,401.0,0.2134663341645885,0.0214,92.43,61.9,73,0,179,1.655061
450.0,129.0,92.0,1.4021739130434785,0.0645,87.93,95.7,64,169,207,1.000596
324.0,102.4,16.0,6.4,0.0512,79.95,119.8,93,93,207,0.4797601
625.0,155.4,34.0,4.570588235294117,0.0777,88.44,68.8,3,68,120,0.9041876
604.0,234.2,433.0,0.5408775981524249,0.05855,91.79,43.3,73,79,195,1.696731
400.0,143.6,37.0,3.881081081081081,0.0718,20.55,63.0,18,113,10,0.6883717
146.0,188.6,1600.0,0.117875,0.04715,62.32,134.9,121,116,105,0.3004971
625.0,220.3,201.0,1.0960199004975124,0.11015,11.25,77.0,48,104,16,0.9501897
324.0,44.6,41.0,1.0878048780487806,0.0446,2.71,39.2,69,139,4,0.7530965
1150.0,297.2,250.0,1.1888,0.0742999999999999,41.38,69.0,36,30,202,2.01561
536.0,184.9,84.0,2.2011904761904764,0.09245,74.75,122.6,107,114,104,1.057401
604.0,311.6,600.0,0.5193333333333334,0.0779,20.19,79.0,70,68,32,1.008322
146.0,189.1,1600.0,0.1181875,0.047275,22.48,60.1,118,116,32,0.4288969
625.0,218.2,14.0,15.585714285714284,0.1090999999999999,41.36,73.6,100,96,89,0.5479724
1150.0,297.2,250.0,1.1888,0.0742999999999999,43.57,67.6,40,105,211,2.01561
560.0,63.6,10.0,6.36,0.0636,42.41,115.8,33,12,458,1.315164
560.0,341.6,545.0,0.6267889908256881,0.0854,58.41,88.1,83,81,77,1.958902
604.0,280.0,2.0,140.0,0.07,83.33,69.1,103,115,98,0.5512151
320.0,20.2,47.0,0.4297872340425532,0.0336666666666666,62.2,121.5,57,0,0,1.343926
560.0,341.8,545.0,0.6271559633027524,0.08545,82.14,71.0,100,94,112,3.928609
800.0,50.0,67.0,0.746268656716418,0.0833333333333333,81.62,110.8,76,0,0,0.7474369
460.0,155.6,33.0,4.715151515151515,0.0778,44.01,124.9,39,94,171,1.013855
460.0,49.8,7.0,7.114285714285714,0.0829999999999999,71.82,110.7,785,0,0,2.185405
320.0,122.7,77.0,1.5935064935064935,0.06135,22.22,119.9,75,95,45,1.593427
560.0,55.8,10.0,5.58,0.0557999999999999,7.99,73.8,50,155,11,2.042118
495.0,43.6,2.0,21.8,0.0726666666666666,1.0,22.9,66,0,0,1.600976
324.0,38.8,96.0,0.4041666666666666,0.0387999999999999,35.88,100.9,67,68,43,0.2916726
324.0,66.2,31.0,2.135483870967742,0.0662,1.23,16.8,54,56,2,0.8130776
800.0,66.0,75.0,0.88,0.066,93.48,66.7,15,30,581,0.3451779
505.0,149.4,6.0,24.9,0.0747,0.43,36.5,0,0,0,0.9071327
580.0,264.5,413.0,0.6404358353510896,0.066125,46.48,119.2,102,96,77,3.708582
350.0,128.0,273.0,0.4688644688644688,0.064,20.79,76.1,126,119,13,0.2007852
560.0,55.8,10.0,5.58,0.0557999999999999,73.85,117.6,50,50,95,2.042118
